date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-12-01T00:00:00.000Z,219.570007,220.729996,219.149994,220.729996,79040500,188.3300296756,189.3249777825,187.9697752773,189.3249777825,79040500,0.0,1.0
2016-12-02T00:00:00.000Z,219.679993,220.25,219.259995,219.669998,74840300,188.4243670896,188.9132746443,188.0641255571,188.415794158,74840300,0.0,1.0
2016-12-05T00:00:00.000Z,221.0,221.399994,220.419998,220.649994,67837800,189.5565661584,189.8996498196,189.0590856721,189.2563583055,67837800,0.0,1.0
2016-12-06T00:00:00.000Z,221.699997,221.740005,220.660004,221.220001,59877400,190.1569689984,190.191284741,189.2649441029,189.7452658603,59877400,0.0,1.0
2016-12-07T00:00:00.000Z,224.600006,224.669998,221.380005,221.520004,110738100,192.6443705725,192.7044042521,189.8825048142,190.0025850391,110738100,0.0,1.0
2016-12-08T00:00:00.000Z,225.149994,225.699997,224.259995,224.570007,99714400,193.1161073902,193.5878570737,192.3527356512,192.6186397697,99714400,0.0,1.0
2016-12-09T00:00:00.000Z,226.509995,226.529999,225.369995,225.410004,88005800,194.2826101935,194.2997680648,193.3048070921,193.3391236923,88005800,0.0,1.0
2016-12-12T00:00:00.000Z,226.25,226.960007,225.759995,226.399994,102016100,194.0596067572,194.6685953946,193.6393186794,194.1882599137,102016100,0.0,1.0
2016-12-13T00:00:00.000Z,227.759995,228.339996,227.0,227.020004,110477500,195.354762717,195.8522423457,194.7028982713,194.7200561426,110477500,0.0,1.0
2016-12-14T00:00:00.000Z,225.880005,228.229996,225.369995,227.410004,142501800,193.7422538989,195.7578929236,193.3048070921,195.0545677299,142501800,0.0,1.0
2016-12-15T00:00:00.000Z,226.809998,227.809998,225.889999,226.160004,124972600,194.5399293723,195.3976513911,193.7508259727,193.9824152064,124972600,0.0,1.0
2016-12-16T00:00:00.000Z,225.039993,226.080002,224.669998,226.009995,156420200,194.1616096329,195.0589160129,193.8423827088,194.9985148743,156420200,1.32893,1.0
2016-12-19T00:00:00.000Z,225.529999,226.020004,225.080002,225.25,90341100,194.5843805032,195.0071505107,194.1961288831,194.3428009696,90341100,0.0,1.0
2016-12-20T00:00:00.000Z,226.399994,226.570007,225.880005,226.149994,89838800,195.3350009921,195.4816860204,194.8863611753,195.1193042096,89838800,0.0,1.0
2016-12-21T00:00:00.000Z,225.770004,226.449997,225.770004,226.25,67909000,194.7914537282,195.3781429369,194.7914537282,195.2055880993,67909000,0.0,1.0
2016-12-22T00:00:00.000Z,225.380005,225.740005,224.919998,225.600006,56219100,194.4549676104,194.7655709771,194.0580794912,194.6447816417,56219100,0.0,1.0
2016-12-23T00:00:00.000Z,225.710007,225.720001,225.210007,225.429993,36251400,194.7396890888,194.7483117834,194.3082955239,194.4980966135,36251400,0.0,1.0
2016-12-27T00:00:00.000Z,226.270004,226.729996,226.0,226.020004,42672500,195.2228472931,195.6197224705,194.9898913169,195.0071505107,42672500,0.0,1.0
2016-12-28T00:00:00.000Z,224.399994,226.589996,224.270004,226.570007,64095000,193.6094267326,195.4989322723,193.4972730336,195.4816860204,64095000,0.0,1.0
2016-12-29T00:00:00.000Z,224.350006,224.889999,223.839996,224.479996,48696100,193.5662977296,194.0321967401,193.1262676656,193.6784514286,48696100,0.0,1.0
2016-12-30T00:00:00.000Z,223.529999,224.830002,222.729996,224.729996,108998300,192.8588062437,193.9804321007,192.1685739516,193.894148211,108998300,0.0,1.0
2017-01-03T00:00:00.000Z,225.240005,225.830002,223.880005,225.039993,91366500,194.3341774123,194.8432192304,193.1607869158,194.1616096329,91366500,0.0,1.0
2017-01-04T00:00:00.000Z,226.580002,226.75,225.610001,225.619995,78744400,195.4903095777,195.6369816642,194.6534051991,194.6620278937,78744400,0.0,1.0
2017-01-05T00:00:00.000Z,226.399994,226.580002,225.479996,226.270004,78379000,195.3350009921,195.4903095777,194.5412385583,195.2228472931,78379000,0.0,1.0
2017-01-06T00:00:00.000Z,227.210007,227.75,225.899994,226.529999,71559900,196.0338697834,196.4997687939,194.9036074272,195.4471676329,71559900,0.0,1.0
2017-01-09T00:00:00.000Z,226.460007,227.070007,226.419998,226.910004,46939700,195.3867794361,195.9130795852,195.3522601858,195.7750310561,46939700,0.0,1.0
2017-01-10T00:00:00.000Z,226.460007,227.449997,226.009995,226.479996,63771900,195.3867794361,196.2409300666,194.9985148743,195.404025688,63771900,0.0,1.0
2017-01-11T00:00:00.000Z,227.100006,227.100006,225.589996,226.360001,74650000,195.9389623363,195.9389623363,194.6361451426,195.3004955464,74650000,0.0,1.0
2017-01-12T00:00:00.000Z,226.529999,226.75,224.960007,226.5,72113200,195.4471676329,195.6369816642,194.0925987415,195.4212848818,72113200,0.0,1.0
2017-01-13T00:00:00.000Z,227.050003,227.399994,226.690002,226.729996,62717900,195.8958203915,196.1977881218,195.585216162,195.6197224705,62717900,0.0,1.0
